generation;avg-f1;avg-f2;avg-f3;sizepareto;time(ms);numberiterationfirstgenerationfixederror
1;3.01;7.01;12.07;
2;2.88;6.64;12.05;17
3;2.27;5.79;12.15;11
4;2.13;5.16;12.19;10
5;1.92;4.99;12.12;10
6;1.75;5.03;12.13;11
7;1.76;4.42;12.28;9
8;1.66;4.5;12.04;12
9;1.56;3.86;12.12;9
10;1.46;3.87;12.18;8
11;1.37;4.07;12.09;8
12;1.41;4.91;12.09;12
13;1.39;4.06;12.17;10
14;1.38;4.04;12.12;9
15;1.36;3.9;12.08;10
16;1.39;4.03;12.1;10
17;1.41;3.99;12.15;9
18;1.37;4.14;12.14;8
19;1.43;4.22;12.15;12
20;1.35;4.07;12.12;10
21;1.35;4.12;12.15;10
22;1.46;4.3;12.23;11
23;1.39;4.23;12.07;9
24;1.44;4.08;12.17;9
25;1.47;4.16;12.19;9
26;1.24;3.51;12.11;8
27;1.4;4.58;12.25;11
28;1.38;4.19;12.11;9
29;1.46;4.04;12.12;10
30;1.32;3.89;12.08;9
31;1.33;4.48;12.14;11
32;1.48;4.36;12.15;12
33;1.38;4.19;12.17;10
34;1.33;4.23;12.14;10
35;1.61;4.47;12.09;10
36;1.44;4.11;12.03;9
37;1.56;4.75;12.0;11
38;1.5;4.74;12.08;11
39;1.57;4.54;12.13;10
40;1.53;4.66;12.13;10
41;1.46;4.73;12.06;10
42;1.48;4.49;12.06;10
43;1.64;4.8;12.06;11
44;1.46;4.74;12.13;11
45;1.72;5.1;12.0;12
46;1.79;5.62;12.06;12
47;1.8;4.97;12.14;12
48;1.78;4.66;11.99;11
49;1.96;5.1;12.0;11
50;1.73;5.09;12.04;11
51;2.08;5.44;12.09;11
52;2.03;5.44;11.96;12
53;1.89;4.76;12.09;12
54;2.04;5.37;11.96;11
55;2.11;5.56;12.03;14
56;2.11;5.27;11.93;11
57;2.12;5.39;12.05;11
58;2.33;5.46;12.05;15
59;2.21;5.38;12.11;12
60;2.22;5.61;12.06;11
61;2.24;4.74;12.06;12
62;1.98;5.18;12.0;12
63;2.11;4.99;11.94;12
64;2.15;5.29;11.99;12
65;2.17;4.74;11.94;11
66;2.18;5.09;11.98;13
67;2.2;4.79;12.05;13
68;2.42;4.98;11.95;13
69;2.43;5.18;12.16;12
70;2.39;5.73;11.99;13
71;2.25;4.99;12.08;12
72;2.33;5.22;11.99;12
73;2.34;5.24;11.99;13
74;2.25;5.05;12.04;13
75;2.43;5.6;11.93;12
76;2.44;5.32;12.01;12
77;2.28;5.4;12.0;12
78;2.45;5.55;11.91;11
79;2.41;5.58;11.94;12
80;2.29;5.55;12.0;13
81;2.4;5.31;12.0;12
82;2.46;5.12;11.94;10
83;2.49;5.62;11.99;11
84;2.42;5.45;12.03;10
85;2.55;5.96;11.89;12
86;2.33;5.33;12.11;12
87;2.55;5.83;11.85;12
88;2.42;5.8;11.97;12
89;2.5;5.43;12.19;14
90;2.52;5.14;11.96;12
91;2.43;5.69;11.89;11
92;2.4;5.77;11.99;13
93;2.43;5.34;11.93;12
94;2.51;5.89;12.07;13
95;2.25;5.07;11.97;12
96;2.62;6.13;12.08;15
97;2.66;5.94;12.01;13
98;2.45;5.9;11.96;13
99;2.44;5.22;12.0;13
100;2.45;5.23;11.94;10
101;2.54;5.3;12.07;15
102;2.37;5.47;12.06;13
103;2.49;5.38;11.87;12
104;2.54;5.53;12.03;14
105;2.48;5.98;11.98;15
106;2.4;5.12;11.99;11
107;2.33;5.63;11.93;12
108;2.5;5.32;11.87;11
109;2.43;5.16;11.87;11
110;2.36;5.29;12.02;13
111;2.48;5.37;11.95;12
112;2.52;5.73;12.0;14
113;2.36;5.08;11.93;13
114;2.41;5.2;11.95;11
115;2.49;5.97;11.92;11
116;2.62;5.35;11.92;11
117;2.59;5.16;11.87;12
118;2.45;5.35;11.98;13
119;2.4;5.18;12.02;12
120;2.6;5.38;12.08;13
121;2.34;5.46;12.0;12
122;2.68;5.78;11.98;12
123;2.48;5.52;11.94;13
124;2.47;5.25;12.05;13
125;2.47;5.44;11.97;11
126;2.47;5.51;11.99;14
127;2.37;5.34;11.98;12
128;2.43;5.01;11.96;13
129;2.48;5.45;12.08;13
130;2.51;5.22;11.98;12
131;2.39;5.34;12.12;13
132;2.57;5.27;11.95;14
133;2.34;5.48;11.95;11
134;2.54;5.39;11.93;12
135;2.48;5.24;11.93;12
136;2.5;5.48;11.84;12
137;2.64;5.38;11.93;11
138;2.46;5.71;11.98;12
139;2.4;5.16;12.1;13
140;2.44;5.37;12.0;12
141;2.63;5.44;11.98;11
142;2.56;5.4;12.0;13
143;2.44;5.41;11.95;12
144;2.44;5.08;12.01;12
145;2.62;5.25;12.01;14
146;2.67;5.9;11.99;15
147;2.51;5.22;11.91;11
148;2.47;5.21;11.92;12
149;2.45;5.19;11.88;11
150;2.49;5.52;11.95;12
151;2.48;5.03;12.0;13
152;2.48;5.7;11.87;13
153;2.57;5.25;12.06;12
154;2.52;5.55;11.95;13
